버스정류장ARS번호,승차총승객수,하차총승객수,승하차총승객수
2135,60771,39582,100353
2137,62682,41846,104528
2139,67722,75838,143560
2140,154704,124054,278758
2141,10490,21250,31740
2142,137852,117755,255607
2144,28980,19279,48259
2145,51323,32560,83883
2146,35103,60903,96006
2147,15837,14158,29995
2148,20867,43339,64206
2149,38081,39643,77724
2150,40051,53229,93280
2151,33651,22592,56243
2152,25331,20959,46290
2153,45831,14463,60294
2154,27602,29046,56648
2155,1276,3095,4371
2156,38394,23953,62347
2157,33553,27275,60828
2158,52517,44644,97161
2159,44265,12035,56300
2160,14358,32223,46581
2161,18703,12392,31095
2162,9703,20562,30265
2163,23355,20620,43975
2164,6878,12880,19758
2165,9694,15199,24893
2166,13176,14322,27498
2167,5519,8047,13566
2168,6701,2778,9479
2169,22130,18761,40891
2170,47739,23784,71523
2171,24100,61157,85257
2172,13912,17023,30935
2173,82209,60512,142721
2174,87461,70814,158275
2177,29768,25321,55089
2178,19214,31464,50678
2179,13950,12828,26778
2180,15512,12897,28409
2181,27230,28664,55894
2182,53252,46099,99351
2183,46301,38607,84908
2184,22813,17039,39852
2187,31089,21651,52740
2188,20425,22797,43222
2189,15480,20515,35995
2190,22212,21094,43306
2191,17143,25700,42843
2192,35933,21080,57013
2193,7949,18121,26070
2194,21419,16503,37922
2195,26004,13891,39895
2196,14872,21200,36072
2197,7214,11745,18959
2198,7892,9692,17584
2199,11097,8912,20009
2201,9364,10103,19467
2202,8776,11428,20204
2203,22345,27487,49832
2204,19573,24020,43593
2205,7011,10116,17127
2206,16486,14837,31323
2207,21079,13083,34162
2208,9416,14524,23940
2209,16676,11834,28510
2210,23073,23972,47045
2211,3887,7116,11003
2212,16112,4161,20273
2213,6965,1832,8797
2214,778,8216,8994
2215,4450,9806,14256
2218,2739,13727,16466
2219,96596,94807,191403
2220,182,485,667
2222,35538,4289,39827
2223,3366,7657,11023
2224,2664,1113,3777
2225,4039,1214,5253
2226,1525,998,2523
2227,2528,2078,4606
2228,1065,1762,2827
2229,9701,7112,16813
2230,3783,8110,11893
2233,8428,8651,17079
2235,6590,6326,12916
2236,16982,11415,28397
2237,11354,19617,30971
2240,1179,650,1829
2241,5809,3462,9271
2242,498,7182,7680
2246,28055,59607,87662
2252,20464,10504,30968
2253,25362,1276,26638
2254,5453,6573,12026
2255,1950,13281,15231
2256,3578,1094,4672
2257,7416,7131,14547
2258,11770,5395,17165
2259,5307,18553,23860
2260,4466,2527,6993
2261,495,7684,8179
2262,1294,1621,2915
2272,4505,5544,10049
2273,8923,7375,16298
2274,5711,8830,14541
2275,4657,6723,11380
2277,16472,6677,23149
2278,4921,1156,6077
2279,1241,289,1530
2280,2164,1540,3704
2281,25723,55591,81314
2282,7167,20147,27314
2284,7674,7018,14692
2285,2980,25871,28851
2286,23806,61804,85610
2288,1619,1133,2752
2289,2708,11687,14395
2291,17930,1859,19789
2501,15087,11104,26191
2502,1561,10290,11851
2503,4701,22230,26931
2505,6226,5559,11785
2506,10621,2688,13309
2507,25146,6845,31991
2510,53919,31726,85645
2513,74,1485,1559
2515,14302,1656,15958
2516,1200,1555,2755
2518,774,1394,2168
2519,1875,3672,5547
2520,2230,19209,21439
2521,13,517,530
2522,2316,2323,4639
2523,2488,2029,4517
2524,24559,3959,28518
2641,14071,9638,23709
2694,2600,445,3045
3001,60822,94420,155242
3002,52217,38231,90448
3003,70655,125918,196573
3004,138859,62757,201616
3005,30895,55036,85931
3006,33504,36168,69672
3007,39056,106406,145462
3008,113202,37081,150283
3009,126365,147508,273873
3010,99686,58265,157951
3011,71284,60973,132257
3012,72215,68459,140674
3110,51207,48573,99780
3111,50693,26762,77455
3119,6280,13568,19848
3120,756,10,766
3121,2,940,942
3122,6055,4857,10912
3124,2676,7445,10121
3125,1293,3068,4361
3126,7738,7050,14788
3127,5748,7233,12981
3128,8628,8525,17153
3129,19182,10861,30043
3130,358,5444,5802
3131,3439,1353,4792
3132,3126,4061,7187
3133,2815,1618,4433
3134,8194,3949,12143
3135,3054,7692,10746
3136,3628,4875,8503
3137,5051,5086,10137
3138,8294,12841,21135
3139,19781,19896,39677
3140,22051,13860,35911
3141,17861,18870,36731
3142,7427,16016,23443
3143,16459,16590,33049
3144,21703,20626,42329
3145,6500,12102,18602
3146,23853,17636,41489
3147,18363,20375,38738
3148,13756,21286,35042
3149,22813,12933,35746
3150,18369,22231,40600
3151,31197,10314,41511
3152,20014,28072,48086
3153,26470,28888,55358
3154,25080,22999,48079
3155,33469,40844,74313
3156,32310,27011,59321
3157,23175,29294,52469
3158,15597,17561,33158
3159,1117,3962,5079
3160,20456,21873,42329
3161,61187,65388,126575
3162,208831,61590,270421
3163,4336,43098,47434
3164,42892,1837,44729
3165,140835,207305,348140
3166,54036,78711,132747
3167,14628,14227,28855
3168,18347,21623,39970
3169,3490,7136,10626
3170,5557,8665,14222
3171,10872,20189,31061
3172,20012,15901,35913
3173,3896,4987,8883
3174,5482,6180,11662
3175,7821,19968,27789
3176,15830,9036,24866
3177,11606,7676,19282
3178,7558,6228,13786
3179,55566,19003,74569
3180,20638,29020,49658
3181,20832,36814,57646
3182,6884,7496,14380
3183,27977,8161,36138
3184,8981,27556,36537
3185,43625,12970,56595
3186,8265,16335,24600
3187,17266,14907,32173
3188,19372,11289,30661
3189,17863,21928,39791
3190,17318,13191,30509
3191,16881,15607,32488
3192,10309,14975,25284
3193,16372,14747,31119
3194,20038,26878,46916
3195,22663,16127,38790
3196,7108,35553,42661
3197,35581,8066,43647
3198,14619,6208,20827
3199,4681,11443,16124
3200,12850,12017,24867
3201,24276,8331,32607
3202,11193,4531,15724
3203,11467,9519,20986
3204,17632,20741,38373
3205,127,7918,8045
3206,3291,2126,5417
3207,280,760,1040
3208,17780,6620,24400
3209,5850,5031,10881
3210,7363,7666,15029
3211,3897,11135,15032
3212,24377,24238,48615
3213,31189,15992,47181
3214,4853,10267,15120
3215,17166,9742,26908
3216,10456,15846,26302
3217,22364,16617,38981
3218,20349,19766,40115
3219,15300,14588,29888
3220,12857,13279,26136
3221,15691,7009,22700
3222,12982,13323,26305
3223,16232,13773,30005
3224,6655,12210,18865
3225,31772,15592,47364
3226,12195,20992,33187
3227,36855,36581,73436
3228,13677,17058,30735
3229,18378,17166,35544
3230,24121,9606,33727
3231,15104,15790,30894
3232,6150,7562,13712
3233,5380,14702,20082
3234,7993,16023,24016
3235,11737,29834,41571
3236,9145,9192,18337
3237,3624,8015,11639
3238,5322,6605,11927
3239,6599,6690,13289
3240,7238,7123,14361
3241,7464,8178,15642
3242,3654,8100,11754
3243,3278,6800,10078
3244,7306,3309,10615
3245,2508,4529,7037
3246,3761,3069,6830
3247,17026,8454,25480
3248,6223,10434,16657
3249,1535,6505,8040
3250,6657,2653,9310
3251,2323,6449,8772
3252,8129,9080,17209
3253,22879,9989,32868
3255,64896,35262,100158
3256,4661,3419,8080
3257,3227,11306,14533
3258,21092,15461,36553
3259,8248,3638,11886
3260,2090,5936,8026
3261,3556,3079,6635
3262,3451,3480,6931
3263,1939,9356,11295
3264,11994,3546,15540
3265,5849,5694,11543
3266,6479,9328,15807
3267,11249,6893,18142
3268,2006,1574,3580
3269,3174,2090,5264
3270,961,859,1820
3272,5561,8847,14408
3273,7752,5317,13069
3274,13856,8590,22446
3275,13027,9719,22746
3276,10959,12011,22970
3277,32179,28534,60713
3278,29303,15353,44656
3279,40023,21477,61500
3280,21742,26538,48280
3281,17276,27642,44918
3282,20362,26325,46687
3283,42639,15432,58071
3284,13320,41067,54387
3285,21044,8234,29278
3286,19785,22944,42729
3287,1138,3185,4323
3288,866,4670,5536
3289,7320,3037,10357
3290,3435,10788,14223
3291,13583,3469,17052
3292,3040,16194,19234
3293,16870,2858,19728
3294,5201,20746,25947
3295,17443,5579,23022
3296,168,2477,2645
3297,8027,5664,13691
3298,10341,16343,26684
3299,18302,10521,28823
3300,12221,11026,23247
3301,12617,8876,21493
3302,8370,9774,18144
3303,2260,1261,3521
3304,9952,7835,17787
3305,4418,4650,9068
3306,6607,270,6877
3307,156,6320,6476
3308,6024,237,6261
3309,149,7535,7684
3310,1575,1481,3056
3311,246,2603,2849
3312,4445,3624,8069
3313,6508,5159,11667
3319,11705,12643,24348
3320,90663,86138,176801
3321,2974,46,3020
3322,6,2178,2184
3323,899,1025,1924
3324,5189,7998,13187
3325,6324,7897,14221
3326,665,3645,4310
3327,10148,12776,22924
3328,2597,25018,27615
3330,7949,1684,9633
3331,12340,3557,15897
3332,3971,5046,9017
3334,9204,11919,21123
3335,7644,2556,10200
3336,517,1457,1974
3338,570,2710,3280
3339,476,857,1333
3340,32885,26333,59218
3341,23185,27014,50199
3342,2694,3112,5806
3343,1740,7322,9062
3344,2455,16623,19078
3345,10263,7128,17391
3346,36378,20149,56527
3347,7869,18467,26336
3500,9181,14621,23802
3501,25744,6833,32577
3502,6241,4073,10314
3503,6450,518,6968
3504,3822,203,4025
3505,4474,139,4613
3506,4670,1098,5768
3508,4690,13807,18497
3509,8297,313,8610
3510,8783,2476,11259
3511,82,1178,1260
3512,4981,443,5424
3513,6837,5268,12105
3515,1246,3648,4894
3516,5756,696,6452
3517,21833,17080,38913
3518,4119,1668,5787
3519,2172,5132,7304
3520,1001,264,1265
3521,9879,1714,11593
3522,2070,3426,5496
3523,1588,1750,3338
3524,1897,6441,8338
3525,3687,2405,6092
3526,775,1291,2066
3527,564,87,651
3529,21387,7728,29115
3530,2851,2001,4852
3532,7802,5823,13625
3533,782,679,1461
3534,2210,3827,6037
3536,2642,13789,16431
3537,513,1215,1728
3540,1901,1687,3588
3541,7817,32364,40181
3542,3009,1538,4547
3543,583,758,1341
3544,1159,886,2045
3545,355,970,1325
3546,6962,1824,8786
3549,454,1349,1803
3550,1575,127,1702
3551,2894,463,3357
3552,7248,8886,16134
3553,698,1458,2156
3557,2377,6892,9269
3560,691,1408,2099
3561,12962,8448,21410
3563,605,1001,1606
3564,7405,1951,9356
3565,27974,6191,34165
3566,393,1198,1591
3567,5188,1224,6412
3568,1242,1531,2773
3569,68,823,891
3570,0,4,4
3571,2043,6693,8736
3572,1472,2883,4355
3573,10594,21062,31656
3574,5820,10939,16759
3577,4228,4344,8572
3578,40,558,598
3579,1547,3912,5459
3580,4918,6307,11225
3581,1755,4979,6734
3582,11468,8486,19954
3583,1537,10847,12384
3584,2754,4078,6832
3585,226,5220,5446
3586,2920,9590,12510
3588,11120,33760,44880
3589,3235,3773,7008
3590,3933,4940,8873
3591,1628,3222,4850
3592,3281,4792,8073
3593,309,11277,11586
3594,5161,2058,7219
3595,2535,50,2585
3596,7714,6199,13913
3597,5157,7856,13013
3598,4431,7962,12393
3688,3680,15879,19559
3689,463,13,476
3699,2204,7445,9649
3700,1366,7735,9101
3709,46,5472,5518
3737,4086,11377,15463
3742,340,1206,1546
3743,624,507,1131
3744,2401,1543,3944
3753,2091,23,2114
3754,49,2724,2773
4001,40225,50378,90603
4002,38978,48562,87540
4003,62575,61426,124001
4101,18595,13186,31781
4102,36479,74251,110730
4103,16674,31267,47941
4104,9802,14133,23935
4105,5252,11183,16435
4106,17870,19058,36928
4107,17306,15364,32670
4108,6051,3077,9128
4109,29023,20224,49247
4110,24040,30678,54718
4112,23553,43725,67278
4113,43634,14729,58363
4114,11323,27992,39315
4116,4109,9409,13518
4117,15486,6517,22003
4118,6211,7024,13235
4119,32370,28473,60843
4120,40613,40706,81319
4121,15088,15472,30560
4122,13873,31951,45824
4123,2487,3103,5590
4124,3025,15155,18180
4125,21279,3917,25196
4126,6985,10585,17570
4127,9302,7730,17032
4128,5269,5081,10350
4129,35590,20930,56520
4130,27349,39893,67242
4131,31891,31495,63386
4132,56281,50071,106352
4133,26716,17901,44617
4134,8059,24654,32713
4135,8042,8517,16559
4136,12554,8969,21523
4137,9382,17305,26687
4138,7143,8359,15502
4139,10459,19562,30021
4140,41409,42732,84141
4141,27482,11810,39292
4142,13877,21116,34993
4143,4863,3575,8438
4145,5570,8920,14490
4146,13602,10788,24390
4147,3813,4381,8194
4148,2087,2934,5021
4149,12422,8453,20875
4150,7866,8319,16185
4151,14286,5041,19327
4152,3249,8917,12166
4153,42731,19840,62571
4154,31337,34792,66129
4155,13175,27574,40749
4156,12162,4469,16631
4157,12609,14705,27314
4158,10548,15658,26206
4159,17455,12121,29576
4160,10094,17832,27926
4161,19669,11990,31659
4162,15826,16243,32069
4163,2503,3584,6087
4164,1025,9179,10204
4165,4242,1676,5918
4166,1487,6268,7755
4167,5421,3479,8900
4168,6013,6958,12971
4169,14279,15438,29717
4170,20220,9432,29652
4171,2416,12033,14449
4172,12669,2010,14679
4173,11733,2016,13749
4174,2723,11602,14325
4175,6590,9098,15688
4176,1651,8219,9870
4177,28098,15483,43581
4178,19520,19260,38780
4179,26781,7808,34589
4180,10716,27340,38056
4181,8983,3075,12058
4182,2033,7008,9041
4183,3187,116,3303
4184,132,3258,3390
4185,14704,9476,24180
4186,2675,12925,15600
4187,8053,7671,15724
4188,5432,12613,18045
4189,51260,22057,73317
4190,16268,12209,28477
4191,5473,4885,10358
4192,5601,8808,14409
4193,5044,2250,7294
4194,1561,7432,8993
4195,11520,1705,13225
4196,1622,12793,14415
4197,13395,2585,15980
4198,4680,9324,14004
4199,2047,12604,14651
4200,16380,2052,18432
4201,1853,10367,12220
4202,11873,3122,14995
4203,1626,1850,3476
4204,2771,2228,4999
4205,157,2507,2664
4206,5119,1620,6739
4207,31267,20956,52223
4208,8025,8901,16926
4209,11889,12303,24192
4210,9640,8403,18043
4211,5330,5581,10911
4212,9242,16025,25267
4213,30598,11731,42329
4214,12510,10667,23177
4215,12209,8234,20443
4216,7153,8621,15774
4217,17669,12544,30213
4218,23070,9971,33041
4221,1694,3200,4894
4222,15346,19354,34700
4223,15334,19644,34978
4226,546,6009,6555
4227,13379,228,13607
4228,70,4208,4278
4229,3209,70,3279
4230,85,2325,2410
4231,1377,1142,2519
4232,4571,2110,6681
4233,1795,3378,5173
4234,377,3191,3568
4236,13441,14170,27611
4237,12127,5241,17368
4238,11642,8501,20143
4239,10007,10633,20640
4240,18629,19267,37896
4241,137,1432,1569
4242,2601,704,3305
4243,998,3081,4079
4244,3933,1741,5674
4245,1373,3753,5126
4246,3606,1932,5538
4247,528,4265,4793
4252,3049,1175,4224
4253,11587,7861,19448
4254,6849,5636,12485
4255,5397,5850,11247
4256,2619,6441,9060
4257,6416,4577,10993
4258,254,7735,7989
4259,8756,96,8852
4261,2663,908,3571
4264,4508,1586,6094
4265,403,1294,1697
4266,1055,360,1415
4267,2711,6503,9214
4268,4883,7777,12660
4269,3817,4021,7838
4270,2337,3837,6174
4271,4068,10161,14229
4272,19449,10704,30153
4273,1461,1796,3257
4275,8570,6449,15019
4276,10713,9772,20485
4277,5679,7267,12946
4278,6094,7634,13728
4279,16059,11481,27540
4280,12850,8948,21798
4281,6114,5369,11483
4282,4157,1032,5189
4286,3660,201,3861
4288,1986,1514,3500
4289,2961,3243,6204
4290,9140,8511,17651
4291,306,1719,2025
4293,18822,20408,39230
4295,7248,8552,15800
4298,4520,3786,8306
4301,21212,35807,57019
4302,48180,29125,77305
4303,1283,1755,3038
4304,2404,2039,4443
4305,6955,150,7105
4306,409,854,1263
4500,6515,5383,11898
4501,4936,9975,14911
4502,4043,2625,6668
4503,8253,346,8599
4504,11625,7128,18753
4505,51629,21471,73100
4506,2239,221,2460
4507,2143,55,2198
4509,248,409,657
4510,60064,36029,96093
4511,1720,4809,6529
4512,1786,251,2037
4513,218,40,258
4514,1329,12,1341
4515,961,1354,2315
4516,7126,4633,11759
4517,2413,3697,6110
4518,5857,333,6190
4519,2582,135,2717
4520,6906,2533,9439
4521,298,4213,4511
4522,116,9,125
4523,16996,2668,19664
4524,2542,989,3531
4526,1632,313,1945
4527,788,176,964
4528,1822,2668,4490
4529,598,72,670
4530,1256,1682,2938
4531,249,1181,1430
4533,147,4343,4490
4535,3787,3353,7140
4536,15375,625,16000
4538,316,1953,2269
4539,1754,764,2518
4540,373,19169,19542
4541,1088,1266,2354
4542,5561,4953,10514
4544,1327,2980,4307
4545,335,2617,2952
4546,125,1557,1682
4547,3865,1433,5298
4548,479,654,1133
4549,966,892,1858
4550,6,60,66
4551,3490,1443,4933
4552,1864,5646,7510
4553,1295,5243,6538
4554,7452,9156,16608
4556,3562,2548,6110
4557,3699,1467,5166
4559,989,5110,6099
4560,8035,10749,18784
4562,1735,2364,4099
4563,4045,2156,6201
4564,151,609,760
4565,1753,557,2310
4566,266,2157,2423
4567,1656,3849,5505
4569,21967,179,22146
4570,1313,3172,4485
4572,24,831,855
4573,4098,6713,10811
4574,70583,36336,106919
4575,1248,385,1633
4577,1390,206,1596
4578,2546,18846,21392
4579,10477,3621,14098
4582,10,550,560
4583,611,2188,2799
4584,3853,4665,8518
4585,771,2418,3189
4586,163,1563,1726
4587,20,2335,2355
4588,503,1280,1783
4589,18923,8919,27842
4590,2257,6582,8839
4591,655,7294,7949
4593,1486,2524,4010
4594,15484,3654,19138
4595,9836,8693,18529
4596,1568,1049,2617
4597,1377,3181,4558
4598,6858,3733,10591
4599,296,2242,2538
4600,3644,3539,7183
4602,509,1818,2327
4603,3887,10011,13898
4615,1194,2047,3241
4648,2667,6578,9245
4651,549,849,1398
4658,1980,8631,10611
4659,1451,2145,3596
4667,163,6569,6732
4668,3518,1297,4815
4669,4115,8942,13057
4670,1880,2483,4363
4671,2324,2806,5130
4672,3473,5255,8728
4674,3799,16009,19808
4677,763,1449,2212
4679,9359,3082,12441
4680,42,493,535
4684,8,996,1004
4685,1177,2816,3993
4686,1197,2642,3839
4691,72,5202,5274
4696,2029,2512,4541
4697,4639,1842,6481
4698,1192,5541,6733
4699,1776,866,2642
4700,3038,805,3843
4701,1491,6051,7542
4702,2431,484,2915
4706,5837,1794,7631
4739,4321,2641,6962
4740,772,175,947
4741,170,8089,8259
4742,1411,2096,3507
4743,429,301,730
4744,812,932,1744
4745,105,614,719
4746,4538,2505,7043
4748,405,1600,2005
4749,3639,3279,6918
4750,2168,3548,5716
4751,2709,4607,7316
4753,10255,24358,34613
4754,24,59,83
4755,293,18,311
4756,879,57,936
4757,80,17,97
4758,42,3525,3567
4759,1511,9,1520
4760,5,461,466
4761,2853,4823,7676
4762,8460,34169,42629
4763,83,3212,3295
4764,11222,244,11466
4765,22955,2438,25393
4766,2611,427,3038
4767,54,4160,4214
4770,481,2483,2964
4771,537,2011,2548
4772,1243,2377,3620
4773,2062,2062,4124
4774,2820,894,3714
4775,668,398,1066
4776,746,1351,2097
4780,841,2723,3564
4800,198,1499,1697
4801,546,841,1387
4802,1157,895,2052
4803,583,830,1413
4804,657,1228,1885
4805,1653,1566,3219
4807,1475,87,1562
4808,734,294,1028
4809,893,899,1792
4811,2239,5820,8059
4812,6074,919,6993
4814,518,240,758
4815,706,522,1228
